album title,album number,track title,artist,songwriter,play length ,selection number on album,category,album cover image file name,cost price,list price,sale price,date entered in inventory,sold as individual track or part of album,removal status,removal date
Aint Nothin to It,3,Ain't Nothin' to It,Cody Johnson,Cody Johnson,3:22,1,Country,https://www.google.com/search?q=cody+johnson+dear+rodeo&tbm=isch&tbs=simg:CAQSlwEJsmRQWaJPVIAaiwELEKjU2AQaBAhCCBUMCxCwjKcIGmIKYAgDEiiOD9sa4hqQDvEO8w6RDrkahBnoG-06xS21O6k66jq4O9ottzvgOqg6GjAtf-3ShlbqaLztR4Nht4SvcmmWpLxIQ_11JgpISn3cdJD6ObFfZOFe8mTKDHpPfuJQgBAwLEI6u_1ggaCgoICAESBMFG5bsM&sa=X&ved=0ahUKEwjv5YjwgfjfAhVM4YMKHXfoA-sQwg4IKygA&biw=1920&bih=938#imgrc=JUzfpXyN87902M:,1.29,1.29,N/A,1/18/2019,Album,0,N/A
Aint Nothin to It,3,Noise,Cody Johnson,Cody Johnson,3:09,2,Country,https://www.google.com/search?q=cody+johnson+dear+rodeo&tbm=isch&tbs=simg:CAQSlwEJsmRQWaJPVIAaiwELEKjU2AQaBAhCCBUMCxCwjKcIGmIKYAgDEiiOD9sa4hqQDvEO8w6RDrkahBnoG-06xS21O6k66jq4O9ottzvgOqg6GjAtf-3ShlbqaLztR4Nht4SvcmmWpLxIQ_11JgpISn3cdJD6ObFfZOFe8mTKDHpPfuJQgBAwLEI6u_1ggaCgoICAESBMFG5bsM&sa=X&ved=0ahUKEwjv5YjwgfjfAhVM4YMKHXfoA-sQwg4IKygA&biw=1920&bih=938#imgrc=JUzfpXyN87902M:https://www.google.com/search?q=cody+johnson+dear+rodeo&tbm=isch&tbs=simg:CAQSlwEJsmRQWaJPVIAaiwELEKjU2AQaBAhCCBUMCxCwjKcIGmIKYAgDEiiOD9sa4hqQDvEO8w6RDrkahBnoG-06xS21O6k66jq4O9ottzvgOqg6GjAtf-3ShlbqaLztR4Nht4SvcmmWpLxIQ_11JgpISn3cdJD6ObFfZOFe8mTKDHpPfuJQgBAwLEI6u_1ggaCgoICAESBMFG5bsM&sa=X&ved=0ahUKEwjv5YjwgfjfAhVM4YMKHXfoA-sQwg4IKygA&biw=1920&bih=938#imgrc=JUzfpXyN87902M:,1.29,1.29,N/A,1/18/2019,Album,0,N/A
Aint Nothin to It,3,Fenceposts,Cody Johnson,Cody Johnson,2:57,3,Country,https://www.google.com/search?q=cody+johnson+dear+rodeo&tbm=isch&tbs=simg:CAQSlwEJsmRQWaJPVIAaiwELEKjU2AQaBAhCCBUMCxCwjKcIGmIKYAgDEiiOD9sa4hqQDvEO8w6RDrkahBnoG-06xS21O6k66jq4O9ottzvgOqg6GjAtf-3ShlbqaLztR4Nht4SvcmmWpLxIQ_11JgpISn3cdJD6ObFfZOFe8mTKDHpPfuJQgBAwLEI6u_1ggaCgoICAESBMFG5bsM&sa=X&ved=0ahUKEwjv5YjwgfjfAhVM4YMKHXfoA-sQwg4IKygA&biw=1920&bih=938#imgrc=JUzfpXyN87902M:,1.29,1.29,N/A,1/18/2019,Album,0,N/A
Aint Nothin to It,3,Understand Why,Cody Johnson,Cody Johnson,3:10,4,Country,https://www.google.com/search?q=cody+johnson+dear+rodeo&tbm=isch&tbs=simg:CAQSlwEJsmRQWaJPVIAaiwELEKjU2AQaBAhCCBUMCxCwjKcIGmIKYAgDEiiOD9sa4hqQDvEO8w6RDrkahBnoG-06xS21O6k66jq4O9ottzvgOqg6GjAtf-3ShlbqaLztR4Nht4SvcmmWpLxIQ_11JgpISn3cdJD6ObFfZOFe8mTKDHpPfuJQgBAwLEI6u_1ggaCgoICAESBMFG5bsM&sa=X&ved=0ahUKEwjv5YjwgfjfAhVM4YMKHXfoA-sQwg4IKygA&biw=1920&bih=938#imgrc=JUzfpXyN87902M:,1.29,1.29,N/A,1/18/2019,Album,0,N/A
Aint Nothin to It,3,Long Haired Country Boy,Cody Johnson,Cody Johnson,4:17,5,Country,https://www.google.com/search?q=cody+johnson+dear+rodeo&tbm=isch&tbs=simg:CAQSlwEJsmRQWaJPVIAaiwELEKjU2AQaBAhCCBUMCxCwjKcIGmIKYAgDEiiOD9sa4hqQDvEO8w6RDrkahBnoG-06xS21O6k66jq4O9ottzvgOqg6GjAtf-3ShlbqaLztR4Nht4SvcmmWpLxIQ_11JgpISn3cdJD6ObFfZOFe8mTKDHpPfuJQgBAwLEI6u_1ggaCgoICAESBMFG5bsM&sa=X&ved=0ahUKEwjv5YjwgfjfAhVM4YMKHXfoA-sQwg4IKygA&biw=1920&bih=938#imgrc=JUzfpXyN87902M:,1.29,1.29,N/A,1/18/2019,Album,0,N/A
Mint,4,Learn To Live,Alice Merton,Alice Merton,3:56,1,Alternative Rock,https://www.google.com/search?q=Mint&tbm=isch&tbs=simg:CAQSmwEJBTWFni442WwajwELEKjU2AQaCAgXCD0IFQgADAsQsIynCBpiCmAIAxIoiBqHGuEO4w7iDowa7Br6BJgfjRryMfMlrTHzMZYxlTH4K_1EljTzVJRow-2tpun0gn4lPmUAr2wXcLVhluLz2orpGJ7m1TcmfOvrT72spBYR75zrrpD5xjTK5IAQMCxCOrv4IGgoKCAgBEgSfIZg3DA&sa=X&ved=0ahUKEwjZrfeAhPjfAhUowlkKHeFcArUQwg4IKygA&biw=1920&bih=938#imgrc=4Fh1ohAq0kFWkM:,0.99,0.99,N/A,1/18/2019,Album,0,N/A
Mint,4,2 Kids,Alice Merton,Alice Merton,3:31,2,Alternative Rock,https://www.google.com/search?q=Mint&tbm=isch&tbs=simg:CAQSmwEJBTWFni442WwajwELEKjU2AQaCAgXCD0IFQgADAsQsIynCBpiCmAIAxIoiBqHGuEO4w7iDowa7Br6BJgfjRryMfMlrTHzMZYxlTH4K_1EljTzVJRow-2tpun0gn4lPmUAr2wXcLVhluLz2orpGJ7m1TcmfOvrT72spBYR75zrrpD5xjTK5IAQMCxCOrv4IGgoKCAgBEgSfIZg3DA&sa=X&ved=0ahUKEwjZrfeAhPjfAhUowlkKHeFcArUQwg4IKygA&biw=1920&bih=938#imgrc=4Fh1ohAq0kFWkM:,0.99,0.99,N/A,1/18/2019,Album,0,N/A
Mint,4,No Roots,Alice Merton,Alice Merton,3:55,3,Alternative Rock,https://www.google.com/search?q=Mint&tbm=isch&tbs=simg:CAQSmwEJBTWFni442WwajwELEKjU2AQaCAgXCD0IFQgADAsQsIynCBpiCmAIAxIoiBqHGuEO4w7iDowa7Br6BJgfjRryMfMlrTHzMZYxlTH4K_1EljTzVJRow-2tpun0gn4lPmUAr2wXcLVhluLz2orpGJ7m1TcmfOvrT72spBYR75zrrpD5xjTK5IAQMCxCOrv4IGgoKCAgBEgSfIZg3DA&sa=X&ved=0ahUKEwjZrfeAhPjfAhUowlkKHeFcArUQwg4IKygA&biw=1920&bih=938#imgrc=4Fh1ohAq0kFWkM:,1.29,1.29,N/A,1/18/2019,Album,0,N/A
Mint,4,Funny Business,Alice Merton,Alice Merton,3:05,4,Alternative Rock,https://www.google.com/search?q=Mint&tbm=isch&tbs=simg:CAQSmwEJBTWFni442WwajwELEKjU2AQaCAgXCD0IFQgADAsQsIynCBpiCmAIAxIoiBqHGuEO4w7iDowa7Br6BJgfjRryMfMlrTHzMZYxlTH4K_1EljTzVJRow-2tpun0gn4lPmUAr2wXcLVhluLz2orpGJ7m1TcmfOvrT72spBYR75zrrpD5xjTK5IAQMCxCOrv4IGgoKCAgBEgSfIZg3DA&sa=X&ved=0ahUKEwjZrfeAhPjfAhUowlkKHeFcArUQwg4IKygA&biw=1920&bih=938#imgrc=4Fh1ohAq0kFWkM:,0.99,0.99,N/A,1/18/2019,Album,0,N/A
Mint,4,Homesick,Alice Merton,Alice Merton,3:16,5,Alternative Rock,https://www.google.com/search?q=Mint&tbm=isch&tbs=simg:CAQSmwEJBTWFni442WwajwELEKjU2AQaCAgXCD0IFQgADAsQsIynCBpiCmAIAxIoiBqHGuEO4w7iDowa7Br6BJgfjRryMfMlrTHzMZYxlTH4K_1EljTzVJRow-2tpun0gn4lPmUAr2wXcLVhluLz2orpGJ7m1TcmfOvrT72spBYR75zrrpD5xjTK5IAQMCxCOrv4IGgoKCAgBEgSfIZg3DA&sa=X&ved=0ahUKEwjZrfeAhPjfAhUowlkKHeFcArUQwg4IKygA&biw=1920&bih=938#imgrc=4Fh1ohAq0kFWkM:,0.99,0.99,N/A,1/18/2019,Album,0,N/A
Future Hndrxx Presents: The Wizrd,5,Never Stop,Future,Future,4:51,1,Rap,https://www.google.com/search?q=Future&tbm=isch&tbs=simg:CAQSmQEJA83DI4heqcAajQELEKjU2AQaBggVCAAICAwLELCMpwgaYgpgCAMSKLMO4RbiFq0RoBmfGfgL8Av3C-0LpDrzJLIt0z3xJM4t0j3UPfsthDgaMKiVMmrs_1yxnRLzNqINfJyMa2zQFbIfuRUOMKI6Vx5mWxfzK29yGamo-yyxPFRFVlSAEDAsQjq7-CBoKCggIARIEZAn_18ww&sa=X&ved=0ahUKEwiF3-LQhfjfAhXPx1kKHZNhCBAQwg4IKygA&biw=1920&bih=938#imgrc=g-LcJ_Pb_7JSrM:,1.29,1.29,N/A,1/18/2019,Album,0,N/A
Future Hndrxx Presents: The Wizrd,5,Jumpin on a Jet,Future,Future,2:17,2,Rap,https://www.google.com/search?q=Future&tbm=isch&tbs=simg:CAQSmQEJA83DI4heqcAajQELEKjU2AQaBggVCAAICAwLELCMpwgaYgpgCAMSKLMO4RbiFq0RoBmfGfgL8Av3C-0LpDrzJLIt0z3xJM4t0j3UPfsthDgaMKiVMmrs_1yxnRLzNqINfJyMa2zQFbIfuRUOMKI6Vx5mWxfzK29yGamo-yyxPFRFVlSAEDAsQjq7-CBoKCggIARIEZAn_18ww&sa=X&ved=0ahUKEwiF3-LQhfjfAhXPx1kKHZNhCBAQwg4IKygA&biw=1920&bih=938#imgrc=g-LcJ_Pb_7JSrM:,1.29,1.29,N/A,1/9/2019,Album,0,N/A
Future Hndrxx Presents: The Wizrd,5,Rocket Ship,Future,Future,1:56,3,Rap,https://www.google.com/search?q=Future&tbm=isch&tbs=simg:CAQSmQEJA83DI4heqcAajQELEKjU2AQaBggVCAAICAwLELCMpwgaYgpgCAMSKLMO4RbiFq0RoBmfGfgL8Av3C-0LpDrzJLIt0z3xJM4t0j3UPfsthDgaMKiVMmrs_1yxnRLzNqINfJyMa2zQFbIfuRUOMKI6Vx5mWxfzK29yGamo-yyxPFRFVlSAEDAsQjq7-CBoKCggIARIEZAn_18ww&sa=X&ved=0ahUKEwiF3-LQhfjfAhXPx1kKHZNhCBAQwg4IKygA&biw=1920&bih=938#imgrc=g-LcJ_Pb_7JSrM:,1.29,1.29,N/A,1/18/2019,Album,0,N/A
Future Hndrxx Presents: The Wizrd,5,Temptation,Future,Future,2:47,4,Rap,https://www.google.com/search?q=Future&tbm=isch&tbs=simg:CAQSmQEJA83DI4heqcAajQELEKjU2AQaBggVCAAICAwLELCMpwgaYgpgCAMSKLMO4RbiFq0RoBmfGfgL8Av3C-0LpDrzJLIt0z3xJM4t0j3UPfsthDgaMKiVMmrs_1yxnRLzNqINfJyMa2zQFbIfuRUOMKI6Vx5mWxfzK29yGamo-yyxPFRFVlSAEDAsQjq7-CBoKCggIARIEZAn_18ww&sa=X&ved=0ahUKEwiF3-LQhfjfAhXPx1kKHZNhCBAQwg4IKygA&biw=1920&bih=938#imgrc=g-LcJ_Pb_7JSrM:,1.29,1.29,N/A,1/18/2019,Album,0,N/A
Future Hndrxx Presents: The Wizrd,5,Crushed Up,Future,Future,2:29,5,Rap,https://www.google.com/search?q=Future&tbm=isch&tbs=simg:CAQSmQEJA83DI4heqcAajQELEKjU2AQaBggVCAAICAwLELCMpwgaYgpgCAMSKLMO4RbiFq0RoBmfGfgL8Av3C-0LpDrzJLIt0z3xJM4t0j3UPfsthDgaMKiVMmrs_1yxnRLzNqINfJyMa2zQFbIfuRUOMKI6Vx5mWxfzK29yGamo-yyxPFRFVlSAEDAsQjq7-CBoKCggIARIEZAn_18ww&sa=X&ved=0ahUKEwiF3-LQhfjfAhXPx1kKHZNhCBAQwg4IKygA&biw=1920&bih=938#imgrc=g-LcJ_Pb_7JSrM:,1.29,1.29,N/A,1/4/2019,Album,0,N/A
Divide,6,Eraser,Ed Sheeran,Ed Sheeran - Johnny McDaid ,3:47,1,Pop,https://www.google.com/search?q=divide+amazon+ed+sheeran&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjGxaC9qvjfAhWpd98KHU0gC20Q_AUIECgD&biw=1280&bih=579#imgrc=CPgx-3OqRcUObM:,1.29,1.29,N/A,3/3/2017,Album,0,N/A
Divide,6,Castle on the Hill,Ed Sheeran,Ed Sheeran,4:21,2,Pop,https://www.google.com/search?q=divide+amazon+ed+sheeran&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjGxaC9qvjfAhWpd98KHU0gC20Q_AUIECgD&biw=1280&bih=579#imgrc=CPgx-3OqRcUObM:,1.29,1.29,N/A,3/3/2017,Album,0,N/A
Divide,6,Dive,Ed Sheeran,Ed Sheeran,3:58,3,Pop,https://www.google.com/search?q=divide+amazon+ed+sheeran&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjGxaC9qvjfAhWpd98KHU0gC20Q_AUIECgD&biw=1280&bih=579#imgrc=CPgx-3OqRcUObM:,1.29,1.29,N/A,3/3/2017,Album,0,N/A
Divide,6,Shape of You,Ed Sheeran,Ed Sheeran-Steve Mac-Johnny McDaid-Kandi Burruss-Tameka Cottle-Kevin Briggs,3:53,4,Pop,https://www.google.com/search?q=divide+amazon+ed+sheeran&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjGxaC9qvjfAhWpd98KHU0gC20Q_AUIECgD&biw=1280&bih=579#imgrc=CPgx-3OqRcUObM:,1.29,1.29,N/A,3/3/2017,Album,0,N/A
Divide,6,Perfect,Ed Sheeran,Ed Sheeran,4:23,5,Pop,https://www.google.com/search?q=divide+amazon+ed+sheeran&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjGxaC9qvjfAhWpd98KHU0gC20Q_AUIECgD&biw=1280&bih=579#imgrc=CPgx-3OqRcUObM:,1.29,1.29,N/A,3/3/2017,Album,0,N/A
Origins,7,Natural,Imagine Dragons,Mattias Larsson - Dan Reynolds - Ben McKee - Justin Drew Tranter - Daniel Platzman -  Wayne Sermon - Robin Fredriksson,3:09,1,Alternative Rock,https://www.google.com/search?q=imagine+dragons+origins+album&tbm=isch&tbs=simg:CAQSlwEJ2e0qZ11mKOoaiwELEKjU2AQaBAgVCAQMCxCwjKcIGmIKYAgDEiicCeELnQmJF-ALmQniC4cM2gOIF_18o6yGAKYUp8iihKfwotimKKdkhGjD-C3mS2yjm60qDgujT-8WKzONZpkxQsQ_1qEVwsKMUNvX6dCM5_1M8sI8DOIQ3bEWv8gBAwLEI6u_1ggaCgoICAESBG9xeOkM&sa=X&ved=0ahUKEwikltvRiPjfAhWs6oMKHbiaCkoQwg4IKygA&biw=696&bih=879#imgrc=_CkZXcy9Ufd5PM:,1.29,1.29,N/A,11/9/2018,Album,0,N/A
Origins,7,Boomerang,Imagine Dragons,Reynolds -  McKee -  Sermon -  Platzman -  Jorgen Odegard,3:07,2,Alternative Rock,https://www.google.com/search?q=imagine+dragons+origins+album&tbm=isch&tbs=simg:CAQSlwEJ2e0qZ11mKOoaiwELEKjU2AQaBAgVCAQMCxCwjKcIGmIKYAgDEiicCeELnQmJF-ALmQniC4cM2gOIF_18o6yGAKYUp8iihKfwotimKKdkhGjD-C3mS2yjm60qDgujT-8WKzONZpkxQsQ_1qEVwsKMUNvX6dCM5_1M8sI8DOIQ3bEWv8gBAwLEI6u_1ggaCgoICAESBG9xeOkM&sa=X&ved=0ahUKEwikltvRiPjfAhWs6oMKHbiaCkoQwg4IKygA&biw=696&bih=879#imgrc=_CkZXcy9Ufd5PM:,1.29,1.29,N/A,11/9/2018,Album,0,N/A
Origins,7,Machine,Imagine Dragons,Reynolds -  McKee -  Sermon -  Platzman - Alex Da Kid,3:01,3,Alternative Rock,https://www.google.com/search?q=imagine+dragons+origins+album&tbm=isch&tbs=simg:CAQSlwEJ2e0qZ11mKOoaiwELEKjU2AQaBAgVCAQMCxCwjKcIGmIKYAgDEiicCeELnQmJF-ALmQniC4cM2gOIF_18o6yGAKYUp8iihKfwotimKKdkhGjD-C3mS2yjm60qDgujT-8WKzONZpkxQsQ_1qEVwsKMUNvX6dCM5_1M8sI8DOIQ3bEWv8gBAwLEI6u_1ggaCgoICAESBG9xeOkM&sa=X&ved=0ahUKEwikltvRiPjfAhWs6oMKHbiaCkoQwg4IKygA&biw=696&bih=879#imgrc=_CkZXcy9Ufd5PM:,1.29,1.29,N/A,11/9/2018,Album,0,N/A
Origins,7,Cool Out,Imagine Dragons,Reynolds -  McKee -  Sermon -  Platzman - Timothy Randolph,3:37,4,Alternative Rock,https://www.google.com/search?q=imagine+dragons+origins+album&tbm=isch&tbs=simg:CAQSlwEJ2e0qZ11mKOoaiwELEKjU2AQaBAgVCAQMCxCwjKcIGmIKYAgDEiicCeELnQmJF-ALmQniC4cM2gOIF_18o6yGAKYUp8iihKfwotimKKdkhGjD-C3mS2yjm60qDgujT-8WKzONZpkxQsQ_1qEVwsKMUNvX6dCM5_1M8sI8DOIQ3bEWv8gBAwLEI6u_1ggaCgoICAESBG9xeOkM&sa=X&ved=0ahUKEwikltvRiPjfAhWs6oMKHbiaCkoQwg4IKygA&biw=696&bih=879#imgrc=_CkZXcy9Ufd5PM:,1.29,1.29,N/A,11/9/2018,Album,0,N/A
Origins,7,Bad Liar,Imagine Dragons,Reynolds -  McKee -  Sermon -  Platzman - Aja Volkman,4:20,5,Alternative Rock,https://www.google.com/search?q=imagine+dragons+origins+album&tbm=isch&tbs=simg:CAQSlwEJ2e0qZ11mKOoaiwELEKjU2AQaBAgVCAQMCxCwjKcIGmIKYAgDEiicCeELnQmJF-ALmQniC4cM2gOIF_18o6yGAKYUp8iihKfwotimKKdkhGjD-C3mS2yjm60qDgujT-8WKzONZpkxQsQ_1qEVwsKMUNvX6dCM5_1M8sI8DOIQ3bEWv8gBAwLEI6u_1ggaCgoICAESBG9xeOkM&sa=X&ved=0ahUKEwikltvRiPjfAhWs6oMKHbiaCkoQwg4IKygA&biw=696&bih=879#imgrc=_CkZXcy9Ufd5PM:,1.29,1.29,N/A,11/9/2018,Album,0,N/A
songs for carmella: lullabies & sing-a-longs,8,You Are My Sunshine,Christina Perri,Jimmie Davis - Charles Mitchell,1:22,1,Children's Music,https://www.google.com/search?q=Christina+Perri&tbm=isch&tbs=simg:CAQSmAEJSRQZo6dJe5sajAELEKjU2AQaBggVCAMICgwLELCMpwgaYQpfCAMSJ9cH4QKxARDTB5kSph2PEokI_1gXvNLAnsyfxNLo15yv8PfA0-TTBIRow68Snnmb9o0kg6SVQfbTNnxAJc5ybvEdewmCJrchEhmETxFQM4Qa_10-avMi6YaYMbIAQMCxCOrv4IGgoKCAgBEgQhF0RUDA&sa=X&ved=0ahUKEwi8uMPbp_jfAhVFn-AKHSCOA2wQwg4IKygA&biw=1280&bih=579#imgrc=WhsJXNvlmgIToM:,1.29,1.29,N/A,1/17/2019,Album,0,N/A
songs for carmella: lullabies & sing-a-longs,8,Til There Was You,Christina Perri,Meredith Wilson,2:07,2,Children's Music,https://www.google.com/search?q=Christina+Perri&tbm=isch&tbs=simg:CAQSmAEJSRQZo6dJe5sajAELEKjU2AQaBggVCAMICgwLELCMpwgaYQpfCAMSJ9cH4QKxARDTB5kSph2PEokI_1gXvNLAnsyfxNLo15yv8PfA0-TTBIRow68Snnmb9o0kg6SVQfbTNnxAJc5ybvEdewmCJrchEhmETxFQM4Qa_10-avMi6YaYMbIAQMCxCOrv4IGgoKCAgBEgQhF0RUDA&sa=X&ved=0ahUKEwi8uMPbp_jfAhVFn-AKHSCOA2wQwg4IKygA&biw=1280&bih=579#imgrc=WhsJXNvlmgIToM:,1.29,1.29,N/A,1/17/2019,Album,0,N/A
