album title,album number,track title,artist,songwriter,play length ,selection number on album,category,album cover image file name,cost price,list price,sale price,Release Date,sold as individual track or part of album,removal status,removal date,Album List Price,Album Cost,Genre,Label,number of tracks
Aint Nothin To It,3,Understand Why,Cody Johnson,Cody Johnson,3:10,4,Country,assets/album_covers/AintNothintIt.jpg,1.29,1.29,N/A,1/18/2019,Album,0,N/A,9.49,9.49,Country,CoJo Music/Warner Bros.,15
Aint Nothin To It,3,Long Haired Country Boy,Cody Johnson,Cody Johnson,4:17,5,Country,assets/album_covers/AintNothintIt.jpg,1.29,1.29,N/A,1/18/2019,Album,0,N/A,9.49,9.49,Country,CoJo Music/Warner Bros.,15
Mint,4,Learn To Live,Alice Merton,Alice Merton,3:56,1,Alternative Rock,assets/album_covers/mint-256706279.jpg,0.99,0.99,N/A,1/18/2019,Album,0,N/A,8.99,8.99,Pop Music,Mom+Pop,11
Mint,4,2 Kids,Alice Merton,Alice Merton,3:31,2,Alternative Rock,assets/album_covers/mint-256706279.jpg,0.99,0.99,N/A,1/18/2019,Album,0,N/A,8.99,8.99,Pop Music,Mom+Pop,11
Mint,4,No Roots,Alice Merton,Alice Merton,3:55,3,Alternative Rock,assets/album_covers/mint-256706279.jpg,1.29,1.29,N/A,1/18/2019,Album,0,N/A,8.99,8.99,Pop Music,Mom+Pop,11
Mint,4,Funny Business,Alice Merton,Alice Merton,3:05,4,Alternative Rock,assets/album_covers/mint-256706279.jpg,0.99,0.99,N/A,1/18/2019,Album,0,N/A,8.99,8.99,Pop Music,Mom+Pop,11
Mint,4,Homesick,Alice Merton,Alice Merton,3:16,5,Alternative Rock,assets/album_covers/mint-256706279.jpg,0.99,0.99,N/A,1/18/2019,Album,0,N/A,8.99,8.99,Pop Music,Mom+Pop,11
Future Hndrxx Presents: The Wizrd,5,Never Stop,Future,Future,4:51,1,Rap & Hip-Hop,assets/album_covers/future-hndrxx-the-wzrd.jpg,1.29,1.29,N/A,1/18/2019,Album,0,N/A,12.99,12.99, Hip-Hop/Rap,Epic,20
Future Hndrxx Presents: The Wizrd,5,Jumpin on a Jet,Future,Future,2:17,2,Rap & Hip-Hop,assets/album_covers/future-hndrxx-the-wzrd.jpg,1.29,1.29,N/A,1/9/2019,Album,0,N/A,12.99,12.99, Hip-Hop/Rap,Epic,20
Future Hndrxx Presents: The Wizrd,5,Rocket Ship,Future,Future,1:56,3,Rap & Hip-Hop,assets/album_covers/future-hndrxx-the-wzrd.jpg,1.29,1.29,N/A,1/18/2019,Album,0,N/A,12.99,12.99, Hip-Hop/Rap,Epic,20
Future Hndrxx Presents: The Wizrd,5,Temptation,Future,Future,2:47,4,Rap & Hip-Hop,assets/album_covers/future-hndrxx-the-wzrd.jpg,1.29,1.29,N/A,1/18/2019,Album,0,N/A,12.99,12.99, Hip-Hop/Rap,Epic,20
Future Hndrxx Presents: The Wizrd,5,Crushed Up,Future,Future,2:29,5,Rap & Hip-Hop,assets/album_covers/future-hndrxx-the-wzrd.jpg,1.29,1.29,N/A,1/4/2019,Album,0,N/A,12.99,12.99, Hip-Hop/Rap,Epic,20
Divide,6,Eraser,Ed Sheeran,Ed Sheeran - Johnny McDaid ,3:47,1,Folk,assets/album_covers/divide.jpg,1.29,1.29,N/A,3/3/2017,Album,0,N/A,12.49,12.49,Pop,Asylum-Atlantic,16
Divide,6,Castle on the Hill,Ed Sheeran,Ed Sheeran,4:21,2,Pop,assets/album_covers/divide.jpg,1.29,1.29,N/A,3/3/2017,Album,0,N/A,12.49,12.49,Pop,Asylum-Atlantic,16
Divide,6,Dive,Ed Sheeran,Ed Sheeran,3:58,3,Memphis soul,assets/album_covers/divide.jpg,1.29,1.29,N/A,3/3/2017,Album,0,N/A,12.49,12.49,Pop,Asylum-Atlantic,16
Divide,6,Shape of You,Ed Sheeran,Ed Sheeran-Steve Mac-Johnny McDaid-Kandi Burruss-Tameka Cottle-Kevin Briggs,3:53,4,Pop,assets/album_covers/divide.jpg,1.29,1.29,N/A,3/3/2017,Album,0,N/A,12.49,12.49,Pop,Asylum-Atlantic,16
Divide,6,Perfect,Ed Sheeran,Ed Sheeran,4:23,5,Pop,assets/album_covers/divide.jpg,1.29,1.29,N/A,3/3/2017,Album,0,N/A,12.49,12.49,Pop,Asylum-Atlantic,16
Origins,7,Natural,Imagine Dragons,Mattias Larsson - Dan Reynolds - Ben McKee - Justin Drew Tranter - Daniel Platzman -  Wayne Sermon - Robin Fredriksson,3:09,1,Alternative/Indie,assets/album_covers/Origins.jpg,1.29,1.29,N/A,11/9/2018,Album,0,N/A,11.49,11.49,Alternative/Indie,Kid Ina Korner / Interscope,12
Origins,7,Boomerang,Imagine Dragons,Reynolds -  McKee -  Sermon -  Platzman -  Jorgen Odegard,3:07,2,Alternative/Indie,assets/album_covers/Origins.jpg,1.29,1.29,N/A,11/9/2018,Album,0,N/A,11.49,11.49,Alternative/Indie,Kid Ina Korner / Interscope,12
Origins,7,Machine,Imagine Dragons,Reynolds -  McKee -  Sermon -  Platzman - Alex Da Kid,3:01,3,Alternative/Indie,assets/album_covers/Origins.jpg,1.29,1.29,N/A,11/9/2018,Album,0,N/A,11.49,11.49,Alternative/Indie,Kid Ina Korner / Interscope,12
Origins,7,Cool Out,Imagine Dragons,Reynolds -  McKee -  Sermon -  Platzman - Timothy Randolph,3:37,4,Alternative/Indie,assets/album_covers/Origins.jpg,1.29,1.29,N/A,11/9/2018,Album,0,N/A,11.49,11.49,Alternative/Indie,Kid Ina Korner / Interscope,12
Origins,7,Bad Liar,Imagine Dragons,Reynolds -  McKee -  Sermon -  Platzman - Aja Volkman,4:20,5,Alternative/Indie,assets/album_covers/Origins.jpg,1.29,1.29,N/A,11/9/2018,Album,0,N/A,11.49,11.49,Alternative/Indie,Kid Ina Korner / Interscope,12
songs for carmella: lullabies & sing-a-longs,8,You Are My Sunshine,Christina Perri,Jimmie Davis - Charles Mitchell,1:22,1,Children's Music,assets/album_covers/Christina-Perri-songs-for-carmella_-lullabies-sing-a-longs.jpg,1.29,1.29,N/A,1/17/2019,Album,0,N/A,9.49,9.49,Children's Music,Elektra (NEK),20
songs for carmella: lullabies & sing-a-longs,8,Til There Was You,Christina Perri,Meredith Wilson,2:07,2,Children's Music,assets/album_covers/Christina-Perri-songs-for-carmella_-lullabies-sing-a-longs.jpg,1.29,1.29,N/A,1/17/2019,Album,0,N/A,9.49,9.49,Children's Music,Elektra (NEK),20
songs for carmella: lullabies & sing-a-longs,8,You Mean The Whole Wide World To Me,Christina Perri,David Hodges - Christina Perri,1:49,3,Children's Music,assets/album_covers/Christina-Perri-songs-for-carmella_-lullabies-sing-a-longs.jpg,1.29,1.29,N/A,1/17/2019,Album,0,N/A,9.49,9.49,Children's Music,Elektra (NEK),20
songs for carmella: lullabies & sing-a-longs,8,A Dream Is A Wish Your Heart Makes,Christina Perri,Al Hoffman - Jerry Livingston - Mack David,2:05,4,Children's Music,assets/album_covers/Christina-Perri-songs-for-carmella_-lullabies-sing-a-longs.jpg,1.29,1.29,N/A,1/17/2019,Album,0,N/A,9.49,9.49,Children's Music,Elektra (NEK),20
songs for carmella: lullabies & sing-a-longs,8,Tonight You Belong to Me,Christina Perri (feat. Paul & Carmella Costabile),Billy Rose - Lee David,1:26,5,Children's Music,assets/album_covers/Christina-Perri-songs-for-carmella_-lullabies-sing-a-longs.jpg,1.29,1.29,N/A,1/17/2019,Album,0,N/A,9.49,9.49,Children's Music,Elektra (NEK),20
A Real Good Kid [Explicit],9,January 11th 2017 [Explicit], Mike Posner,Pete Kuzma -  Adam Friedman - Mike Posner,3:07,1,Alternative Rock,assets/album_covers/ARealGoodKid[Explicit].jpg,1.29,1.29,N/A,1/18/2019,Album,0,N/A,9.49,9.49,Alternative/Indie,Island Records,11
A Real Good Kid [Explicit],9,Wide Open [Explicit],Mike Posner,Jean Marc Belkadi - Adam Friedman - Timothy James Bowen - Mike Posner,2:49,2,Alternative Rock,assets/album_covers/ARealGoodKid[Explicit].jpg,1.29,1.29,N/A,1/18/2019,Album,0,N/A,9.49,9.49,Alternative/Indie,Island Records,11
A Real Good Kid [Explicit],9,Song About You,Mike Posner,Mike Posner - Eric Frederic - Dan Wilson,3:10,3,Alternative Rock,assets/album_covers/ARealGoodKid[Explicit].jpg,1.29,1.29,N/A,1/18/2019,Album,0,N/A,9.49,9.49,Alternative/Indie,Island Records,11
A Real Good Kid [Explicit],9,Move On,Mike Posner,Nate Mercereau - Mike Posner - Eric Frederic - Dan Wilson - Adam Friedman,2:58,4,Alternative Rock,assets/album_covers/ARealGoodKid[Explicit].jpg,1.29,1.29,N/A,1/18/2019,Album,0,N/A,9.49,9.49,Alternative/Indie,Island Records,11
A Real Good Kid [Explicit],9,Drip [Explicit],Mike Posner,James Valentine - Mike Posner,5:25,5,Alternative Rock,assets/album_covers/ARealGoodKid[Explicit].jpg,1.29,1.29,N/A,1/18/2019,Album,0,N/A,9.49,9.49,Alternative/Indie,Island Records,11
Heard It In A Past Life [Explicit],10,Give A Little,Maggie Rogers,Greg Kurstin - Maggie Rogers,3:46,1,Alternative Rock,assets/album_covers/Maggie_Past-Life_final-copy.jpg,1.29,1.29,N/A,1/18/2019,Album,0,N/A,9.49,9.49,Alternative/Indie,Capitol Records,12
Heard It In A Past Life [Explicit],10,Overnight,Maggie Rogers,Greg Kurstin - Maggie Rogers,3:20,2,Alternative Rock,assets/album_covers/Maggie_Past-Life_final-copy.jpg,1.29,1.29,N/A,1/18/2019,Album,0,N/A,9.49,9.49,Alternative/Indie,Capitol Records,12
Heard It In A Past Life [Explicit],10,The Knife,Maggie Rogers,Greg Kurstin - Maggie Rogers,3:59,3,Alternative Rock,assets/album_covers/Maggie_Past-Life_final-copy.jpg,1.29,1.29,N/A,1/18/2019,Album,0,N/A,9.49,9.49,Alternative/Indie,Capitol Records,12
Heard It In A Past Life [Explicit],10,Alaska,Maggie Rogers,Doug Schadt - Maggie Rogers,3:08,4,Alternative Rock,assets/album_covers/Maggie_Past-Life_final-copy.jpg,1.29,1.29,N/A,1/18/2019,Album,0,N/A,9.49,9.49,Alternative/Indie,Capitol Records,12
Heard It In A Past Life [Explicit],10,Light On,Maggie Rogers,Kid Harpoon - Maggie Rogers,3:53,5,Alternative Rock,assets/album_covers/Maggie_Past-Life_final-copy.jpg,1.29,1.29,N/A,1/18/2019,Album,0,N/A,9.49,9.49,Alternative/Indie,Capitol Records,12
Dirty Computer,11,Dirty Computer,Janelle Monáe,Janelle Monáe Robinson - Nathaniel Irvin III,1:59,1,Pop,assets/album_covers/DirtyComputer.png,1.29,1.29,N/A,4/27/2018,Album,0,N/A,13.26,13.26,R&B/Soul,Bad Boy Records,14
Dirty Computer,11,Crazy - Classic - Life,Janelle Monáe,Robinson - Irvin III - Charles Joseph II,4:46,2,Pop,assets/album_covers/DirtyComputer.png,1.29,1.29,N/A,4/27/2018,Album,0,N/A,13.26,13.26,R&B/Soul,Bad Boy Records,14
Dirty Computer,11,Take a Byte,Janelle Monáe,Robinson - Irvin III - John M. Webb Jr. - Nana Kwabena Tuffuor - Kellis Parker Jr.,4:07,3,Pop,assets/album_covers/DirtyComputer.png,1.29,1.29,N/A,4/27/2018,Album,0,N/A,13.26,13.26,R&B/Soul,Bad Boy Records,14
Dirty Computer,11,Jane's Dream,Janelle Monáe,Jon Brion,0:18,4,Pop,assets/album_covers/DirtyComputer.png,1.29,1.29,N/A,4/27/2018,Album,0,N/A,13.26,13.26,R&B/Soul,Bad Boy Records,14
Dirty Computer,11,Screwed,Janelle Monáe,Robinson - Irvin III - Roman GianArthur Irvin - Joseph II - Benjamin Hudson Mcildowie,5:02,5,Pop,assets/album_covers/DirtyComputer.png,1.29,1.29,N/A,4/27/2018,Album,0,N/A,13.26,13.26,R&B/Soul,Bad Boy Records,14
Dirty Computer,11,Django Jane,Janelle Monáe,Robinson - Irvin III - Tuffuor,3:10,6,Pop,assets/album_covers/DirtyComputer.png,1.29,1.29,N/A,4/27/2018,Album,0,N/A,13.26,13.26,R&B/Soul,Bad Boy Records,14
Dirty Computer,11,Pynk,Janelle Monáe,Robinson - Joseph II - Irvin III - Wynne Bennett - Taylor Parks,4:00,7,Pop,assets/album_covers/DirtyComputer.png,1.29,1.29,N/A,4/27/2018,Album,0,N/A,13.26,13.26,R&B/Soul,Bad Boy Records,14
Dirty Computer,11,Make Me Feel,Janelle Monáe,Robinson - Mattias Larsson - Robin Fredriksson - Justin Tranter - Julia Michaels,3:14,8,Pop,assets/album_covers/DirtyComputer.png,1.29,1.29,N/A,4/27/2018,Album,0,N/A,13.26,13.26,R&B/Soul,Bad Boy Records,14
Dirty Computer,11,I Got the Juice,Janelle Monáe,Robinson - Irvin III - Irvin - Tuffuor - Parks - Pharrell Williams - Joshua Dean,3:46,9,Pop,assets/album_covers/DirtyComputer.png,1.29,1.29,N/A,4/27/2018,Album,0,N/A,13.26,13.26,R&B/Soul,Bad Boy Records,14
Dirty Computer,11,I Like That,Janelle Monáe,Robinson - Rico Wade - Patrick L. Brown - Ray Murray - Irvin III Parks,3:20,10,Pop,assets/album_covers/DirtyComputer.png,1.29,1.29,N/A,4/27/2018,Album,0,N/A,13.26,13.26,R&B/Soul,Bad Boy Records,14
Dirty Computer,11,Don't Judge Me,Janelle Monáe,Robinson - Irvin III - Irvin - Parks - Dean,6:00,11,Pop,assets/album_covers/DirtyComputer.png,1.29,1.29,N/A,4/27/2018,Album,0,N/A,13.26,13.26,R&B/Soul,Bad Boy Records,14
Dirty Computer,11,Stevie's Dream,Janelle Monáe,Irvin III - Irvin,0:46,12,Pop,assets/album_covers/DirtyComputer.png,1.29,1.29,N/A,4/27/2018,Album,0,N/A,13.26,13.26,R&B/Soul,Bad Boy Records,14
Dirty Computer,11,So Afraid,Janelle Monáe,Robinson - Irvin III,4:04,13,Pop,assets/album_covers/DirtyComputer.png,1.29,1.29,N/A,4/27/2018,Album,0,N/A,13.26,13.26,R&B/Soul,Bad Boy Records,14
Dirty Computer,11,Americans,Janelle Monáe,Robinson - Irvin III - Webb Jr. - Joseph II Parker Jr.,4:06,14,Pop,assets/album_covers/DirtyComputer.png,1.29,1.29,N/A,4/27/2018,Album,0,N/A,13.26,13.26,R&B/Soul,Bad Boy Records,14
Camila,12,Never Be the Same,Camila Cabello,Camila Cabello - Adam Feeney - Leo Rami Dawod - Jacob Ludwig Olofsson - Noonie Bao - Sasha Yatchenko,3:46,1,R&B,assets/album_covers/Camila_(Official_Album_Cover).png,1.29,1.29,N/A,4/27/2018,Album,0,N/A,16.79,16.79,Pop,Epic/Syco,11
Camila,12,All These Years,Camila Cabello,Cabello - Feeney - Kaan Gunesberk - Jeff Gitelman - Mustafa Ahmed,2:44,2,R&B,assets/album_covers/Camila_(Official_Album_Cover).png,1.29,1.29,N/A,1/12/2018,Album,0,N/A,16.79,16.79,Pop,Epic/Syco,11
Camila,12,She Loves Control,Camila Cabello,Cabello - Sonny John Moore - Feeney - Bell - Ilsey Juber - Ahmed,2:57,3,R&B,assets/album_covers/Camila_(Official_Album_Cover).png,1.29,1.29,N/A,1/12/2018,Album,0,N/A,16.79,16.79,Pop,Epic/Syco,11
Camila,12,Havana (featuring Young Thug),,Cabello - Jeffrey Williams - Feeney - Brittany Hazzard - Ali Tamposi - Brian Lee - Andrew Watt - Pharrell Williams - Bell - Gunesberk,3:37,4,R&B,assets/album_covers/Camila_(Official_Album_Cover).png,1.29,1.29,N/A,1/12/2018,Album,0,N/A,16.79,16.79,Pop,Epic/Syco,11
Camila,12,Inside Out,Camila Cabello,Cabello - Hazzard - Feeney - Tyler Williams - Gunesberk,3:02,5,R&B,assets/album_covers/Camila_(Official_Album_Cover).png,1.29,1.29,N/A,1/12/2018,Album,0,N/A,16.79,16.79,Pop,Epic/Syco,11
Camila,12,Consequences,Camila Cabello,Cabello - Amy Wadge - Nicolle Galyon - Emily Weisband,2:58,6,R&B,assets/album_covers/Camila_(Official_Album_Cover).png,1.29,1.29,N/A,1/12/2018,Album,0,N/A,16.79,16.79,Pop,Epic/Syco,11
Camila,12,Real Friends,Camila Cabello,Cabello - Feeney - William Walsh - Bell - Lee,3:34,7,R&B,assets/album_covers/Camila_(Official_Album_Cover).png,1.29,1.29,N/A,1/12/2018,Album,0,N/A,16.79,16.79,Pop,Epic/Syco,11
Camila,12,Something's Gotta Give,Camila Cabello,Cabello - Alex Schwartz - Joe Khajadourian - Sarah Hudson - James Abrahart - Jesse Saint John,3:56,8,R&B,assets/album_covers/Camila_(Official_Album_Cover).png,1.29,1.29,N/A,1/12/2018,Album,0,N/A,16.79,16.79,Pop,Epic/Syco,11
Camila,12,In the Dark,Camila Cabello,Cabello - Feeney - Te Whiti Warbrick - Simon Wilcox - Madison Love - Abrahart,3:39,9,R&B,assets/album_covers/Camila_(Official_Album_Cover).png,1.29,1.29,N/A,1/12/2018,Album,0,N/A,16.79,16.79,Pop,Epic/Syco,11
Camila,12,Into It,Camila Cabello,Cabello - Feeney - Bell - Gunesberk - Ryan Tedder - Justin Tranter,2:55,10,R&B,assets/album_covers/Camila_(Official_Album_Cover).png,1.29,1.29,N/A,1/12/2018,Album,0,N/A,16.79,16.79,Pop,Epic/Syco,11
Camila,12,Never Be the Same,Camila Cabello,Camila Cabello- Adam Feeney - Leo Rami Dawod - Jacob Ludwig Olofsson - Noonie Bao - Sasha Yatchenko,3:47,11,R&B,assets/album_covers/Camila_(Official_Album_Cover).png,1.29,1.29,N/A,1/12/2018,Album,0,N/A,16.79,16.79,Pop,Epic/Syco,11
Kamikaze,13,The Ringer,Eminem,Ray Fraser - Matthew Jacobson - Katorah Marrero -Marshall Mathers - Luis Resto - Ronald Spence Jr.,5:37,1,Hip Hop,assets/album_covers/Eminem_-_Kamikaze.jpg,1.29,1.29,N/A,8/31/2018,Album,0,N/A,9.49,9.49,Hip-Hop/Rap,Aftermath/Interscope/Shady,13
Kamikaze,13,Greatest,Eminem,Jordan Carter - Kendrick Duckworth - Asheton Hogan - Jordan Jenks - Mathers - Jeremy Miller - Anthony Tiffith - Michael Williams II - Symere Woods,3:46,2,Hip Hop,assets/album_covers/Eminem_-_Kamikaze.jpg,1.29,1.29,N/A,8/31/2018,Album,0,N/A,9.49,9.49,Hip-Hop/Rap,Aftermath/Interscope/Shady,13
Kamikaze,13,Lucky You,Eminem,Paul Rosenberg,0:35,4,Hip Hop,assets/album_covers/Eminem_-_Kamikaze.jpg,1.29,1.29,N/A,8/31/2018,Album,0,N/A,9.49,9.49,Hip-Hop/Rap,Aftermath/Interscope/Shady,13
Kamikaze,13,Paul,Eminem,Erik Bodin - Fraser Larry Griffin Jr. - Mathers Yukimi - Nagano Maurice - Nichols R. Sheldon - Fredrik Wallinhaykan - Wirenstrand,3:42,5,Hip Hop,assets/album_covers/Eminem_-_Kamikaze.jpg,1.29,1.29,N/A,8/31/2018,Album,0,N/A,9.49,9.49,Hip-Hop/Rap,Aftermath/Interscope/Shady,13
Kamikaze,13,Normal,Eminem,Mathers,0:49,6,Hip Hop,assets/album_covers/Eminem_-_Kamikaze.jpg,1.29,1.29,N/A,8/31/2018,Album,0,N/A,9.49,9.49,Hip-Hop/Rap,Aftermath/Interscope/Shady,13
Kamikaze,13,Em Calls Paul,Eminem,Mathers Luis Resto - Mario Resto,5:09,7,Hip Hop,assets/album_covers/Eminem_-_Kamikaze.jpg,1.29,1.29,N/A,8/31/2018,Album,0,N/A,9.49,9.49,Hip-Hop/Rap,Aftermath/Interscope/Shady,13
Kamikaze,13,Not Alike,Eminem,Marshall Mathers - Brytavious Chambers - Ronald Spence Jr - Ryan Montgomery,4:48,8,Hip Hop,assets/album_covers/Eminem_-_Kamikaze.jpg,1.29,1.29,N/A,8/31/2018,Album,0,N/A,9.49,9.49,Hip-Hop/Rap,Aftermath/Interscope/Shady,13
Kamikaze,13,Kamikaze,Eminem,Bobby Ervin - Mathers Dwayne Simon - James Smith - Timothy Suby,3:36,9,Hip Hop,assets/album_covers/Eminem_-_Kamikaze.jpg,1.29,1.29,N/A,8/31/2018,Album,0,N/A,9.49,9.49,Hip-Hop/Rap,Aftermath/Interscope/Shady,13
Kamikaze,13,Fall,Eminem,B. J. Burton - Mathers L. Resto - Justin Vernon Williams,4:22,10,Hip Hop,assets/album_covers/Eminem_-_Kamikaze.jpg,1.29,1.29,N/A,8/31/2018,Album,0,N/A,9.49,9.49,Hip-Hop/Rap,Aftermath/Interscope/Shady,13
Kamikaze,13,Nice Guy,Eminem,Fred BallL Griffin Jr. - Mathers L. Resto - Jessica Reyez,2:30,11,Hip Hop,assets/album_covers/Eminem_-_Kamikaze.jpg,1.29,1.29,N/A,8/31/2018,Album,0,N/A,9.49,9.49,Hip-Hop/Rap,Aftermath/Interscope/Shady,13
Kamikaze,13,Good Guy,Eminem,Norio Aono Fraser - Lisa Gomamoto - Mathers - Reyez - Yutaka Yamada,2:22,12,Hip Hop,assets/album_covers/Eminem_-_Kamikaze.jpg,1.29,1.29,N/A,8/31/2018,Album,0,N/A,9.49,9.49,Hip-Hop/Rap,Aftermath/Interscope/Shady,13
Kamikaze,13,Venom,Eminem,Mathers - Luis Resto - Mario Resto,4:29,13,Hip Hop,assets/album_covers/Eminem_-_Kamikaze.jpg,1.29,1.29,N/A,8/31/2018,Album,0,N/A,9.49,9.49,Hip-Hop/Rap,Aftermath/Interscope/Shady,13
Live in Texas,14,Somewhere I Belong,Linkin Park,Linkin Park,3:37,1,Rap Rock,assets/album_covers/LP-LiveInTexas.jpg,1.29,1.29,N/A,11/18/2003,Album,0,N/A,9.49,9.49,Hard Rock,Warner Reprise Video/Warner Bros./Machine Shop,12
Live in Texas,14,Lying from You,Linkin Park,Linkin Park,3:07,2,Rap Rock,assets/album_covers/LP-LiveInTexas.jpg,1.29,1.29,N/A,11/18/2003,Album,0,N/A,9.49,9.49,Hard Rock,Warner Reprise Video/Warner Bros./Machine Shop,12
Live in Texas,14,Papercut,Linkin Park,Linkin Park,3:06,3,Rap Rock,assets/album_covers/LP-LiveInTexas.jpg,1.29,1.29,N/A,11/18/2003,Album,0,N/A,9.49,9.49,Hard Rock,Warner Reprise Video/Warner Bros./Machine Shop,12
Live in Texas,14,Points of Authority,Linkin Park,Linkin Park,3:25,4,Rap Rock,assets/album_covers/LP-LiveInTexas.jpg,1.29,1.29,N/A,11/18/2003,Album,0,N/A,9.49,9.49,Hard Rock,Warner Reprise Video/Warner Bros./Machine Shop,12
Live in Texas,14,Runaway,Linkin Park,Linkin Park,3:06,5,Rap Rock,assets/album_covers/LP-LiveInTexas.jpg,1.29,1.29,N/A,11/18/2003,Album,0,N/A,9.49,9.49,Hard Rock,Warner Reprise Video/Warner Bros./Machine Shop,12
Live in Texas,14,Faint,Linkin Park,Linkin Park,2:47,6,Rap Rock,assets/album_covers/LP-LiveInTexas.jpg,1.29,1.29,N/A,11/18/2003,Album,0,N/A,9.49,9.49,Hard Rock,Warner Reprise Video/Warner Bros./Machine Shop,12
Live in Texas,14,From the Inside,Linkin Park,Linkin Park,3:00,7,Rap Rock,assets/album_covers/LP-LiveInTexas.jpg,1.29,1.29,N/A,11/18/2003,Album,0,N/A,9.49,9.49,Hard Rock,Warner Reprise Video/Warner Bros./Machine Shop,12
Live in Texas,14,P5hng Me A*wy,Linkin Park,Linkin Park,5:05,8,Rap Rock,assets/album_covers/LP-LiveInTexas.jpg,1.29,1.29,N/A,11/18/2003,Album,0,N/A,9.49,9.49,Hard Rock,Warner Reprise Video/Warner Bros./Machine Shop,12
Live in Texas,14,Numb,Linkin Park,Linkin Park,3:06,9,Rap Rock,assets/album_covers/LP-LiveInTexas.jpg,1.29,1.29,N/A,11/18/2003,Album,0,N/A,9.49,9.49,Hard Rock,Warner Reprise Video/Warner Bros./Machine Shop,12
Live in Texas,14,Crawling,Linkin Park,Linkin Park,3:33,10,Rap Rock,assets/album_covers/LP-LiveInTexas.jpg,1.29,1.29,N/A,11/18/2003,Album,0,N/A,9.49,9.49,Hard Rock,Warner Reprise Video/Warner Bros./Machine Shop,12
Live in Texas,14,In the End,Linkin Park,Linkin Park,3:31,11,Rap Rock,assets/album_covers/LP-LiveInTexas.jpg,1.29,1.29,N/A,11/18/2003,Album,0,N/A,9.49,9.49,Hard Rock,Warner Reprise Video/Warner Bros./Machine Shop,12
